Word,Count
BNC,1126
Baby,45
a,83253
sampling,29
of,101003
the,190793
British,1182
National,430
Corpus,11
Selection,10
design,286
distribution,414
Research,86
Technologies,3
Service,135
Oxford,511
University,557
Creation,8
original,395
Consortium,190
OUP,2
Longman,49
UCREL,2
OUCS,2
Chambers,15
Second,156
Edition,190
Approximately,4
four,2769
million,678
words,1006
Computing,185
Services,299
13,541
Banbury,16
Road,440
OX2,1
6NN,1
U,205
K,182
Telephone,16
44,95
1865,5
273221,1
Facsimile,1
273275,1
Internet,1
mail,35
natcorp,183
oucs,1
ox,191
ac,223
uk,184
B,1104
This,3995
version,189
is,39149
licenced,2
for,31005
by,16422
Each,152
copy,142
corpus,224
must,2815
include,454
this,14577
header,222
and,88862
standard,288
licence,255
agreement,188
Any,213
redistribution,20
or,12597
republishing,2
texts,148
Processed,12
Material,20
strictly,67
forbidden,21
For,1576
information,861
conditions,674
Standard,37
License,2
Agreement,22
are,17625
as,22377
follows,221
The,20778
grants,50
according,357
to,94460
terms,853
set,1456
out,9882
herein,3
in,64633
consideration,143
payments,99
specified,74
non,834
exclusive,51
transferable,4
Licence,4
Licensee,13
use,1970
purposes,157
linguistic,79
research,520
development,566
language,514
products,190
b,316
Distribution,4
restricted,124
event,335
being,3026
an,11196
organisation,173
s,49348
group,1383
defined,262
consisting,23
only,5700
those,3167
employees,111
whom,354
authorises,2
perform,102
work,3144
using,665
described,533
paragraph,126
c,427
Members,42
said,12924
not,18837
except,349
provided,424
publish,20
otherwise,266
give,2007
any,4592
third,676
party,1185
access,284
whole,1085
part,1537
It,11624
responsibility,279
ensure,184
that,47203
members,554
understand,590
abide,6
restriction,40
supervise,13
their,8163
activities,238
with,23884
respect,238
Neither,85
nor,389
may,3825
assign,18
transfer,119
lease,29
sell,387
rent,92
charge,523
encumber,1
d,3712
be,24962
installed,34
at,19449
place,1803
places,366
computing,26
systems,379
normally,285
conduct,136
can,10007
both,2177
home,2726
computers,84
particular,1018
machine,327
building,542
e,668
Copies,5
made,3047
backup,1
making,986
data,818
available,630
but,14686
shall,819
copyright,195
notice,244
reproduced,27
on,28591
all,11452
copies,53
parts,330
thereof,10
such,3198
will,8246
deemed,31
f,153
There,4049
no,8550
Results,36
print,82
electronic,192
form,1364
exploit,40
commercially,19
whatsoever,28
extracts,20
from,14305
other,5536
than,5463
permitted,61
under,2089
provisions,68
relevant,257
laws,335
g,529
does,3434
grant,90
rights,280
reproduce,11
Texts,5
commercial,144
services,435
way,4279
would,9928
fair,345
dealings,28
provision,151
law,968
15,557
March,279
2008,1
has,9433
single,639
source,415
document,84
details,321
sources,184
used,2424
creation,138
each,1789
text,439
see,5677
individual,546
headers,187
principles,149
practices,120
underlying,96
selection,264
documented,48
User,27
Reference,18
Guide,27
which,11534
should,3972
supplied,53
it,49007
was,36700
formed,177
1990,227
started,698
1991,217
three,3978
year,3116
task,298
producing,104
hundred,1376
word,696
modern,316
English,750
academic,183
first,4293
edition,207
published,222
1994,40
A,5907
second,1523
World,592
produced,395
during,977
between,2912
1998,5
2000,40
contains,191
thorough,22
revision,18
speech,223
tagging,21
several,617
corrections,14
some,6214
minor,136
SGML,9
derived,167
been,10909
converted,67
XML,369
throughout,237
also,3649
explicit,77
lemmatization,3
result,686
unique,130
collaboration,26
major,650
dictionary,51
publishers,33
two,7572
universities,30
Library,35
Harrap,1
Press,228
Unit,42
Computer,29
into,5987
Language,30
Lancaster,32
funded,47
partners,92
consortium,17
assistance,77
government,867
Department,186
Trade,96
Industry,63
DTI,73
Science,69
Engineering,19
Council,379
SERC,2
Joint,18
Framework,3
Information,47
Technology,41
JFIT,1
large,1068
its,4534
up,10998
ninety,251
written,586
ten,1076
spoken,188
sample,244
composed,69
samples,111
generally,349
more,7447
40,308
000,1475
rather,1634
complete,343
works,382
synchronic,7
includes,166
imaginative,42
dating,31
1960s,63
informative,13
1975,100
gathered,92
primarily,97
general,1101
specifically,105
subject,602
field,689
register,132
genre,43
age,724
social,1310
groups,648
broad,134
spread,233
regions,177
monolingual,1
substantially,50
product,232
speakers,106
small,1456
proportion,223
foreign,170
TEI,9
conformant,5
uniformly,17
marked,202
recommendations,67
Text,7
Encoding,2
Initiative,11
international,473
concerned,457
mark,243
Originally,14
expressed,210
Standardized,1
General,229
Markup,1
IS,50
8879,1
1986,246
now,6474
encoded,9
Lexicography,1
provides,249
body,901
new,2976
meaning,303
grammar,46
usage,220
yields,66
empirical,60
frequencies,43
classes,173
spelling,53
preferences,36
among,653
things,1853
reveals,47
hitherto,24
undocumented,1
evidence,645
about,8901
consequences,179
go,6632
far,1403
beyond,341
immediate,173
impact,199
writing,479
Linguistic,2
basis,398
investigating,74
phenomena,52
testing,118
competing,47
theories,125
technology,172
Statistical,14
techniques,193
requiring,41
very,4450
increasingly,179
translation,33
recognition,95
synthesizers,1
checkers,2
processing,162
desk,268
top,1218
publishing,38
hand,1554
held,884
books,406
developments,85
Teaching,6
rich,223
examples,212
current,421
allowing,153
frequent,71
patterns,161
distinguished,75
less,1375
In,4996
addition,235
valuable,90
didactic,3
resource,50
many,2639
areas,637
higher,480
education,521
As,1815
model,392
Future,15
corpora,2
languages,44
base,218
designs,56
experience,606
gained,102
production,327
Definitive,1
policies,230
applied,244
construction,138
associated,304
reference,269
documentation,15
Different,27
kinds,198
material,586
were,11231
selected,130
different,1925
ways,485
Half,109
chosen,210
demographic,26
procedure,140
half,2026
predetermined,12
contexts,62
Written,6
randomly,30
within,1166
constraints,45
criteria,119
object,149
maximize,9
variation,177
frame,116
included,321
agencies,82
went,2545
through,2933
pre,241
post,406
stages,92
An,530
attempt,404
consistency,29
matters,186
treatment,479
perceived,71
errors,117
these,3817
either,921
silently,54
corrected,216
corr,1
element,409
end,1749
line,876
hyphenation,2
most,2687
removed,183
punctuation,41
marks,147
double,411
quotation,52
have,22246
represented,164
elements,413
containing,271
appropriate,348
Unicode,1
character,256
segmentation,9
sentence,395
mw,1
multiword,1
w,262
string,81
carried,411
across,977
originally,121
prepared,297
variously,16
typing,21
scanning,22
followed,497
OCR,1
conversion,130
readable,7
All,977
processed,50
common,625
format,43
subsequent,139
including,592
annotation,2
error,140
correction,32
done,2053
wide,402
range,580
software,180
tools,64
Canonical,1
references,79
constructed,117
taking,820
value,517
n,28719
attribute,58
bncDoc,2
